Name,Id,Endpnt,Antibio,Samp_sz,Side_eff
KLAST,4,ototoxicity,Gentamicin,20,0
KLAST,4,ototoxicity,Sisomycin,20,1
WALKER,6,ototoxicity,Gentamicin,40,0
WALKER,6,ototoxicity,Tobramycin,40,0
LAU,9,ototoxicity,Amikacin,105,21
LAU,9,ototoxicity,Gentamicin,96,13
SMITH77,10,ototoxicity,Amikacin,34,2
SMITH77,10,ototoxicity,Gentamicin,30,3
EDEN,11,ototoxicity,Gentamicin,20,1
EDEN,11,ototoxicity,Netilmicin,20,0
HAHN,12,ototoxicity,Amikacin,10,0
HAHN,12,ototoxicity,Gentamicin,16,1
HAHN,12,ototoxicity,Netilmicin,16,1
HOYME,13,ototoxicity,Netilmicin,30,1
HOYME,13,ototoxicity,Tobramycin,31,0
LERNER78,14,ototoxicity,Amikacin,49,4
LERNER78,14,ototoxicity,Gentamicin,52,4
COX,19,ototoxicity,Gentamicin,29,0
COX,19,ototoxicity,Netilmicin,29,0
GREENE,20,ototoxicity,Amikacin,2,0
GREENE,20,ototoxicity,Gentamicin,4,0
GREENE,20,ototoxicity,Netilmicin,6,1
GREENE,20,ototoxicity,Tobramycin,5,2
LOVE,22,ototoxicity,Amikacin,29,1
LOVE,22,ototoxicity,Gentamicin,32,2
LOVE,22,ototoxicity,Netilmicin,29,1
MAKI,24,ototoxicity,Gentamicin,53,4
MAKI,24,ototoxicity,Sisomycin,54,2
SCHNIDER,25,ototoxicity,Gentamicin,33,1
SCHNIDER,25,ototoxicity,Netilmicin,42,0
BOCK,27,ototoxicity,Amikacin,23,6
BOCK,27,ototoxicity,Netilmicin,29,2
LEAL,28,ototoxicity,Gentamicin,41,1
LEAL,28,ototoxicity,Sisomycin,39,0
SMITH80,29,ototoxicity,Gentamicin,47,5
SMITH80,29,ototoxicity,Tobramycin,44,5
FONG,31,ototoxicity,Gentamicin,11,0
FONG,31,ototoxicity,Tobramycin,15,1
HERTIG,32,ototoxicity,Gentamicin,166,1
HERTIG,32,ototoxicity,Netilmicin,168,1
LORBER,34,ototoxicity,Gentamicin,5,2
LORBER,34,ototoxicity,Sisomycin,11,0
GATELL83,40,ototoxicity,Amikacin,17,6
GATELL83,40,ototoxicity,Tobramycin,19,8
HOLM,41,ototoxicity,Amikacin,38,3
HOLM,41,ototoxicity,Gentamicin,31,5
LERNER83,42,ototoxicity,Netilmicin,73,2
LERNER83,42,ototoxicity,Tobramycin,84,10
GATELL84,45,ototoxicity,Netilmicin,27,2
GATELL84,45,ototoxicity,Tobramycin,28,5
