Date,Out_temp,Room,In_temp,Cor_fac,Typ_wea
4/2/1993,33,1,59,no,CLOUDY
4/2/1993,33,2,59,no,CLOUDY
4/2/1993,33,3,61,no,CLOUDY
4/2/1993,33,4,60.5,no,CLOUDY
4/2/1993,33,5,64,no,CLOUDY
4/2/1993,33,6,64,no,CLOUDY
4/2/1993,33,7,65.5,no,CLOUDY
4/2/1993,33,8,65,no,CLOUDY
4/2/1993,33,9,65,no,CLOUDY
4/2/1993,33,10,61,no,CLOUDY
4/2/1993,33,11,59,no,CLOUDY
4/2/1993,33,12,64,no,CLOUDY
4/2/1993,33,13,65.5,no,CLOUDY
4/2/1993,33,14,61.5,no,CLOUDY
4/2/1993,33,15,62.5,no,CLOUDY
4/2/1993,33,16,60.5,no,CLOUDY
4/2/1993,33,17,59.5,no,CLOUDY
4/2/1993,33,18,59,no,CLOUDY
4/2/1993,33,19,59.5,no,CLOUDY
4/2/1993,33,20,58,no,CLOUDY
4/2/1993,33,21,61.5,no,CLOUDY
4/3/1993,39,1,60,no,RAINY
4/3/1993,39,2,62.5,no,RAINY
4/3/1993,39,3,63,no,RAINY
4/3/1993,39,4,62.5,no,RAINY
4/3/1993,39,5,64,no,RAINY
4/3/1993,39,6,64.5,no,RAINY
4/3/1993,39,7,66,no,RAINY
4/3/1993,39,8,65,no,RAINY
4/3/1993,39,9,65,no,RAINY
4/3/1993,39,10,64.5,no,RAINY
4/3/1993,39,11,58,no,RAINY
4/3/1993,39,12,64.5,no,RAINY
4/3/1993,39,13,65.5,no,RAINY
4/3/1993,39,14,62.5,no,RAINY
4/3/1993,39,15,65,no,RAINY
4/3/1993,39,16,65,no,RAINY
4/3/1993,39,17,66,no,RAINY
4/3/1993,39,18,64,no,RAINY
4/3/1993,39,19,64,no,RAINY
4/3/1993,39,20,64,no,RAINY
4/3/1993,39,21,66,no,RAINY
4/6/1993,37,1,61.5,no,NA
4/6/1993,37,2,57,no,NA
4/6/1993,37,3,65.5,no,NA
4/6/1993,37,4,66,no,NA
4/6/1993,37,5,65,no,NA
4/6/1993,37,6,63.5,no,NA
4/6/1993,37,7,66,no,NA
4/6/1993,37,8,67,no,NA
4/6/1993,37,9,66,no,NA
4/6/1993,37,10,60.5,no,NA
4/6/1993,37,11,66.5,no,NA
4/6/1993,37,12,65.5,no,NA
4/6/1993,37,13,65,no,NA
4/6/1993,37,14,65,no,NA
4/6/1993,37,15,65,no,NA
4/6/1993,37,16,63,no,NA
4/6/1993,37,17,64.5,no,NA
4/6/1993,37,18,62.5,no,NA
4/6/1993,37,19,63,no,NA
4/6/1993,37,20,61.5,no,NA
4/6/1993,37,21,64,no,NA
4/7/1993,44,1,65.5,no,SUNNY
4/7/1993,44,2,66,no,SUNNY
4/7/1993,44,3,68,no,SUNNY
4/7/1993,44,4,66.5,no,SUNNY
4/7/1993,44,5,67.5,no,SUNNY
4/7/1993,44,6,64,no,SUNNY
4/7/1993,44,7,66.5,no,SUNNY
4/7/1993,44,8,67,no,SUNNY
4/7/1993,44,9,65,no,SUNNY
4/7/1993,44,10,67,no,SUNNY
4/7/1993,44,11,62.5,no,SUNNY
4/7/1993,44,12,66.5,no,SUNNY
4/7/1993,44,13,67.5,no,SUNNY
4/7/1993,44,14,67,no,SUNNY
4/7/1993,44,15,65.5,no,SUNNY
4/7/1993,44,16,65.5,no,SUNNY
4/7/1993,44,17,64,no,SUNNY
4/7/1993,44,18,63.5,no,SUNNY
4/7/1993,44,19,64.5,no,SUNNY
4/7/1993,44,20,65,no,SUNNY
4/7/1993,44,21,65.5,no,SUNNY
