Id,Group,Trtgrp,Age,B_amp,A_amp
1,NORMAL,LIGHT,15,351,NA
1,NORMAL,LIGHT,20,527,NA
1,NORMAL,LIGHT,34,280,NA
2,NORMAL,LIGHT,15,173,NA
2,NORMAL,LIGHT,20,326,NA
2,NORMAL,LIGHT,34,NA,NA
3,NORMAL,LIGHT,15,300,NA
3,NORMAL,LIGHT,20,770,NA
3,NORMAL,LIGHT,34,820,NA
4,NORMAL,LIGHT,15,301,NA
4,NORMAL,LIGHT,20,410,NA
4,NORMAL,LIGHT,34,365,NA
5,NORMAL,LIGHT,15,324,NA
5,NORMAL,LIGHT,20,317,NA
5,NORMAL,LIGHT,34,878,NA
6,NORMAL,LIGHT,15,214,NA
6,NORMAL,LIGHT,20,521,NA
6,NORMAL,LIGHT,34,871,NA
7,NORMAL,LIGHT,15,283,NA
7,NORMAL,LIGHT,20,491,NA
7,NORMAL,LIGHT,34,482,NA
8,NORMAL,LIGHT,15,222,NA
8,NORMAL,LIGHT,20,437,NA
8,NORMAL,LIGHT,34,501,NA
9,NORMAL,LIGHT,15,551,NA
9,NORMAL,LIGHT,20,515,NA
9,NORMAL,LIGHT,34,378,NA
10,NORMAL,LIGHT,15,631,NA
10,NORMAL,LIGHT,20,580,NA
10,NORMAL,LIGHT,34,1233,NA
11,NORMAL,LIGHT,15,577,NA
11,NORMAL,LIGHT,20,595,NA
11,NORMAL,LIGHT,34,462,NA
12,NORMAL,LIGHT,15,423,NA
12,NORMAL,LIGHT,20,422,NA
12,NORMAL,LIGHT,34,424,NA
13,NORMAL,DIM,15,209,NA
13,NORMAL,DIM,20,500,NA
13,NORMAL,DIM,34,471,NA
14,NORMAL,DIM,15,143,NA
14,NORMAL,DIM,20,556,NA
14,NORMAL,DIM,34,502,NA
15,NORMAL,DIM,15,227,NA
15,NORMAL,DIM,20,487,NA
15,NORMAL,DIM,34,NA,NA
16,NORMAL,DIM,15,214,NA
16,NORMAL,DIM,20,668,NA
16,NORMAL,DIM,34,659,NA
17,NORMAL,DIM,15,146,NA
