Name,Id,Endpnt,Antibio,Samp_sz,Side_eff
BODEY,3,2,Gentamicin,11,0
BODEY,3,2,Sisomycin,11,0
BODEY,3,2,Tobramycin,11,2
KLAST,4,2,Gentamicin,21,4
KLAST,4,2,Sisomycin,25,4
WALKER,6,2,Gentamicin,40,7
WALKER,6,2,Tobramycin,40,2
FELD,7,2,Amikacin,73,11
FELD,7,2,Tobramycin,77,16
GILBERT,8,2,Amikacin,15,2
GILBERT,8,2,Gentamicin,15,2
LAU,9,2,Amikacin,149,12
LAU,9,2,Gentamicin,130,11
SMITH77,10,2,Amikacin,62,9
SMITH77,10,2,Gentamicin,62,11
EDEN,11,2,Gentamicin,20,2
EDEN,11,2,Netilmicin,20,2
HAHN,12,2,Amikacin,33,0
HAHN,12,2,Gentamicin,34,0
HAHN,12,2,Netilmicin,38,0
LERNER78,14,2,Amikacin,49,0
LERNER78,14,2,Gentamicin,52,6
WADE,17,2,Gentamicin,43,13
WADE,17,2,Tobramycin,47,11
COX,19,2,Gentamicin,29,2
COX,19,2,Netilmicin,29,2
GREENE,20,2,Amikacin,16,1
GREENE,20,2,Gentamicin,11,2
GREENE,20,2,Netilmicin,10,1
GREENE,20,2,Tobramycin,15,2
KEATING,21,2,Amikacin,100,8
KEATING,21,2,Gentamicin,105,16
KEATING,21,2,Sisomycin,85,19
LOVE,22,2,Amikacin,53,4
LOVE,22,2,Gentamicin,58,5
LOVE,22,2,Netilmicin,50,2
LOVELESS,23,2,Gentamicin,16,2
LOVELESS,23,2,Netilmicin,13,1
MAKI,24,2,Gentamicin,53,16
MAKI,24,2,Sisomycin,54,12
SCHNIDER,25,2,Gentamicin,33,1
SCHNIDER,25,2,Netilmicin,42,0
BARZA,26,2,Amikacin,32,4
BARZA,26,2,Netilmicin,37,3
BOCK,27,2,Amikacin,29,8
BOCK,27,2,Netilmicin,34,13
LEAL,28,2,Gentamicin,41,15
LEAL,28,2,Sisomycin,39,9
SMITH80,29,2,Gentamicin,72,19
SMITH80,29,2,Tobramycin,74,9
FONG,31,2,Gentamicin,102,18
FONG,31,2,Tobramycin,103,15
HERTIG,32,2,Gentamicin,362,14
HERTIG,32,2,Netilmicin,362,8
LORBER,34,2,Gentamicin,41,4
LORBER,34,2,Sisomycin,38,3
WEISS,36,2,Gentamicin,40,1
WEISS,36,2,Netilmicin,40,1
BROWN,37,2,Gentamicin,103,5
BROWN,37,2,Tobramycin,96,2
FEIG,38,2,Gentamicin,25,10
FEIG,38,2,Tobramycin,29,8
GATELL83,40,2,Amikacin,54,7
GATELL83,40,2,Tobramycin,59,4
HOLM,41,2,Amikacin,49,3
HOLM,41,2,Gentamicin,46,9
LERNER83,42,2,Netilmicin,116,1
LERNER83,42,2,Tobramycin,114,5
MATZKE,43,2,Gentamicin,99,9
MATZKE,43,2,Tobramycin,97,17
GATELL84,45,2,Netilmicin,72,12
GATELL84,45,2,Tobramycin,86,20
